date,name,name_is,name_en,type,parent,parent_is,parent_en,hierarchy_level,value
2003-10-31,Seðlabanki / Central Bank,Seðlabanki,Central Bank,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,60844.925
2003-10-31,Seðlabanki / Central Bank,Seðlabanki,Central Bank,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,1998.063
2003-10-31,Seðlar og mynt í umferð / Notes and coin in circulation,Seðlar og mynt í umferð,Notes and coin in circulation,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,7589.414
2003-10-31,Verðbréfaútgáfa innlánsstofnana / Deposit taking corporations bond issues,Verðbréfaútgáfa innlánsstofnana,Deposit taking corporations bond issues,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,87323.833
2003-11-30,Aðrar erlendar eignir  / Other foreign assets,Aðrar erlendar eignir ,Other foreign assets,asset,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",3,163217.723
2003-11-30,Aðrar innlendar eignir / Other domestic assets,Aðrar innlendar eignir,Other domestic assets,asset,"Innlendar eignir, alls / Domestic assets, total","Innlendar eignir, alls","Domestic assets, total",3,114645.152
2003-11-30,EIGNIR / ASSETS:,EIGNIR,ASSETS:,asset,,,,1,1546448.285
2003-11-30,Erlend verðbréf Seðlabanka / Central Bank's foreign securities,Erlend verðbréf Seðlabanka,Central Bank's foreign securities,asset,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",3,32366.832
2003-11-30,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,asset,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",3,125715.5433
2003-11-30,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",asset,EIGNIR / ASSETS:,EIGNIR,ASSETS:,2,321300.0983
2003-11-30,"Fjármálafyrirtæki, önnur en bankar / Non-bank financial institutions","Fjármálafyrirtæki, önnur en bankar",Non-bank financial institutions,asset,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,425.817
2003-11-30,Hlutabréf / Equities,Hlutabréf,Equities,asset,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,64174.915
2003-11-30,Hlutabréf / Equities,Hlutabréf,Equities,asset,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,4,18462.755
2003-11-30,Innlend útlán og markaðsverðbréf / Domestic lending and marketable securities,Innlend útlán og markaðsverðbréf,Domestic lending and marketable securities,asset,"Innlendar eignir, alls / Domestic assets, total","Innlendar eignir, alls","Domestic assets, total",3,1110503.035
2003-11-30,"Innlendar eignir, alls / Domestic assets, total","Innlendar eignir, alls","Domestic assets, total",asset,EIGNIR / ASSETS:,EIGNIR,ASSETS:,2,1225148.187
2003-11-30,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,asset,Innlend útlán og markaðsverðbréf / Domestic lending and marketable securities,Innlend útlán og markaðsverðbréf,Domestic lending and marketable securities,4,1109370.298
2003-11-30,Markaðsskuldabréf / Marketable bonds,Markaðsskuldabréf,Marketable bonds,asset,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,180768.1631
2003-11-30,Markaðsskuldabréf / Marketable bonds,Markaðsskuldabréf,Marketable bonds,asset,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,4,3003.183917
2003-11-30,Ríkissjóður og ríkisstofnanir / Treasury and Government institutions,Ríkissjóður og ríkisstofnanir,Treasury and Government institutions,asset,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,706.92
2003-11-30,Seðlabanki / Central Bank,Seðlabanki,Central Bank,asset,Innlend útlán og markaðsverðbréf / Domestic lending and marketable securities,Innlend útlán og markaðsverðbréf,Domestic lending and marketable securities,4,1132.737
2003-11-30,Útlán / Lending 3,Útlán,Lending 3,asset,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,864427.2196
2003-11-30,Útlán / Lending 3,Útlán,Lending 3,asset,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,4,104249.6044
2003-11-30,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,283417.572
2003-11-30,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,liability,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",3,240193.923
2003-11-30,Aðrar skuldir ót.a.st. / Other liabilities,Aðrar skuldir ót.a.st.,Other liabilities,liability,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,2703.24
2003-11-30,Aðrar skuldir ót.a.st. / Other liabilities,Aðrar skuldir ót.a.st.,Other liabilities,liability,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,58777.509
2003-11-30,Eigið fé  / Total equity and minority interest,Eigið fé ,Total equity and minority interest,liability,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,102549.521
2003-11-30,Eigið fé / Capital and reserves,Eigið fé,Capital and reserves,liability,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,40253.908
2003-11-30,Erlend verðbréfaútgáfa innlánsstofnana / Deposit taking corporations foreign bond issues,Erlend verðbréfaútgáfa innlánsstofnana,Deposit taking corporations foreign bond issues,liability,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",3,446187.93
2003-11-30,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",liability,SKULDIR / LIABILITIES:,SKULDIR,LIABILITIES:,2,708343.7343
2003-11-30,Innlendar beinar lántökur / Domestic direct borrowing,Innlendar beinar lántökur,Domestic direct borrowing,liability,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,53150.343
2003-11-30,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",liability,SKULDIR / LIABILITIES:,SKULDIR,LIABILITIES:,2,838104.5517
2003-11-30,Innlán erlendra aðila í innlánsstofnunum / Non-residents' deposits in deposit taking corporations,Innlán erlendra aðila í innlánsstofnunum,Non-residents' deposits in deposit taking corporations,liability,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",3,21961.88132
2003-11-30,Innlán innlendra aðila í innlánsstofnunum / Residents' deposits in deposit taking corporations,Innlán innlendra aðila í innlánsstofnunum,Residents' deposits in deposit taking corporations,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,460575.566
2003-11-30,Innlánsstofnanir / DMBs,Innlánsstofnanir,DMBs,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,238288.499
2003-11-30,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,214477.373
2003-11-30,Ríkissjóður og ríkisstofnanir / Treasury and government institutions,Ríkissjóður og ríkisstofnanir,Treasury and government institutions,liability,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,25983.051
2003-11-30,SKULDIR / LIABILITIES:,SKULDIR,LIABILITIES:,liability,,,,1,1546448.286
2003-11-30,Seðlabanki / Central Bank,Seðlabanki,Central Bank,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,68940.199
2003-11-30,Seðlabanki / Central Bank,Seðlabanki,Central Bank,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,1905.424
2003-11-30,Seðlar og mynt í umferð / Notes and coin in circulation,Seðlar og mynt í umferð,Notes and coin in circulation,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,7642.286
2003-11-30,Verðbréfaútgáfa innlánsstofnana / Deposit taking corporations bond issues,Verðbréfaútgáfa innlánsstofnana,Deposit taking corporations bond issues,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,86469.128
